fundo;dividend yield;valor patrimonial;p/vp
abcp11;0,45%;R$ 87,97;0,84
afcr11;0,82%;R$ 101,52;1,04
afof11;N/A;R$ 111,12;N/A
aiec11;0,60%;R$ 96,41;0,97
almi11;0,00%;R$ 1.997,97;0,59
alzr11;0,31%;R$ 102,55;1,25
ancr11b;N/A;R$ 3.512,16;1,14
aqll11;0,00%;R$ 1.516,64;0,33
arct11;2,28%;R$ 989,94;1,30
arfi11b;N/A;R$ 1.208,78;0,92
arri11;0,85%;R$ 93,46;0,95
atcr11;N/A;R$ 95,31;N/A
atsa11;0,18%;R$ 110,29;1,03
bari11;1,12%;R$ 101,35;1,11
bbfi11b;0,62%;R$ 3.163,32;0,66
bbfo11;N/A;N/A;N/A
bbpo11;0,79%;R$ 100,92;1,19
bbrc11;0,65%;R$ 109,97;1,23
bbvj11;0,61%;R$ 57,18;1,10
bcff11;0,59%;R$ 83,37;1,08
bcia11;0,52%;R$ 116,36;0,96
bcri11;1,10%;R$ 106,42;1,05
bicr11;0,28%;R$ 98,97;1,01
blcp11;0,76%;R$ 101,06;1,02
blmo11;N/A;R$ 24.667,52;1,08
blmr11;N/A;R$ 101,94;N/A
bmii11;0,00%;R$ 495,74;N/A
bmlc11;0,62%;R$ 93,96;1,02
bmlc11b;0,61%;R$ 93,97;1,02
bnfs11;0,81%;R$ 96,12;1,29
bpff11;0,63%;R$ 85,57;0,93
bpml11;0,31%;R$ 136,27;0,73
brco11;0,46%;R$ 98,64;1,19
brcr11;0,57%;R$ 107,61;0,82
brev11;0,42%;R$ 107,37;1,14
brht11b;N/A;R$ 84,81;N/A
brip11;N/A;R$ 1.003,37;N/A
brla11;0,00%;R$ 99,92;N/A
btcr11;0,65%;R$ 96,99;0,90
btgm11;N/A;N/A;N/A
btlg11;0,57%;R$ 100,99;1,10
bvar11;0,00%;R$ 1.203,98;N/A
bzli11;0,00%;R$ 11,94;1,28
care11;0,24%;R$ 1,39;0,52
cbop11;0,64%;R$ 91,05;0,82
ceoc11;0,59%;R$ 97,86;0,71
cjct11;0,61%;R$ 57,17;1,05
cnes11;0,46%;R$ 91,88;0,65
cpff11;0,82%;R$ 83,69;0,96
cpts11;1,08%;R$ 94,26;1,09
crff11;0,49%;R$ 93,47;0,96
ctxt11;0,71%;R$ 48,55;0,94
cvbi11;1,47%;R$ 100,84;1,02
cxce11b;0,85%;R$ 86,15;1,21
cxri11;0,48%;R$ 96,99;1,40
cxtl11;0,00%;R$ 766,95;0,48
deva11;N/A;R$ 99,38;1,22
dmac11;0,79%;R$ 282,54;0,53
domc11;0,00%;R$ 1.079,60;0,41
dovl11b;N/A;R$ 1.075,94;1,08
drit11b;0,37%;R$ 129,93;1,07
edfo11b;0,62%;R$ 203,03;1,25
edga11;0,76%;R$ 78,68;0,38
egyr11;N/A;R$ 1,00;N/A
eldo11b;0,00%;R$ 1.164,32;N/A
ercr11;N/A;N/A;N/A
euro11;0,35%;R$ 307,32;0,71
faed11;0,59%;R$ 205,12;0,94
famb11b;0,56%;R$ 3.612,31;0,43
fatn11;0,55%;R$ 99,80;1,04
fcas11;0,00%;R$ 60,79;N/A
fcfl11;0,46%;R$ 105,82;1,12
fexc11;0,58%;R$ 99,49;0,92
ffci11;0,42%;R$ 171,97;1,06
figs11;0,40%;R$ 98,22;0,68
fiib11;0,51%;R$ 427,85;1,29
fiip11b;0,33%;R$ 195,89;1,03
finf11;0,00%;R$ 103,72;N/A
fivn11;0,00%;R$ 7,61;0,50
flma11;0,25%;R$ 2,91;1,05
flrp11;0,28%;R$ 1.604,48;0,80
fmof11;0,25%;R$ 131,56;0,57
foft11;1,54%;R$ 104,98;1,17
fpab11;0,48%;R$ 414,21;0,71
fpng11;0,00%;R$ 102,68;0,97
fvbi11;18,78%;R$ 0,00;Inf
fvpq11;0,05%;R$ 213,41;0,67
galg11;0,00%;R$ 83,48;N/A
gcff11;0,68%;R$ 95,38;1,08
ggrc11;0,55%;R$ 124,33;1,10
grlv11;36,85%;R$ 5,97;24,38
gsfi11;0,03%;R$ 11,89;0,28
gtwr11;0,58%;R$ 97,85;1,14
habt11;1,52%;R$ 101,45;1,17
hbrh11;0,66%;R$ 99,23;1,02
hbtt11;1,57%;R$ 886,32;1,19
hcri11;0,67%;R$ 291,87;1,60
hcst11;N/A;R$ 95,95;N/A
hctr11;1,74%;R$ 117,23;1,22
hfof11;0,53%;R$ 99,48;1,04
hgbs11;0,29%;R$ 227,05;0,97
hgcr11;0,52%;R$ 106,09;0,95
hgff11;0,59%;R$ 98,62;0,94
hglg11;0,47%;R$ 147,08;1,18
hgpo11;0,43%;R$ 243,14;0,91
hgre11;0,43%;R$ 166,32;0,91
hgru11;0,53%;R$ 118,15;1,07
hlog11;0,54%;R$ 124,00;0,95
hmoc11;0,35%;R$ 232,53;0,96
hosi11;0,57%;R$ 93,01;0,94
hpdp11;0,39%;R$ 95,80;0,93
hrdf11;N/A;R$ 1,56;1,00
hrec11;0,00%;R$ 99,64;N/A
hsaf11;N/A;R$ 97,05;0,95
hslg11;N/A;R$ 111,00;N/A
hsml11;0,51%;R$ 97,95;0,97
hsre11;N/A;R$ 99,97;N/A
htmx11;0,00%;R$ 144,27;0,89
husc11;0,49%;R$ 130,09;1,15
ibff11;0,61%;R$ 87,68;0,92
ifid11;N/A;N/A;N/A
ifie11;0,39%;R$ 93,76;1,03
irdm11;1,07%;R$ 101,15;1,34
jfll11;N/A;N/A;N/A
jppa11;0,65%;R$ 101,12;0,99
jrdm11;0,13%;R$ 90,84;0,80
jsre11;0,55%;R$ 112,02;0,87
keve11;N/A;R$ 1.009,90;1,05
kfof11;0,47%;R$ 107,84;0,95
kinp11;N/A;R$ 9,72;1,41
kisu11;N/A;R$ 95,74;N/A
kncr11;0,34%;R$ 98,56;0,87
knhy11;0,92%;R$ 105,09;1,08
knip11;0,89%;R$ 105,31;1,10
knre11;3,92%;R$ 3,18;1,11
knri11;0,41%;R$ 156,28;1,03
knsc11;N/A;R$ 96,53;1,01
lasc11;0,32%;R$ 95,10;1,03
lgcp11;0,53%;R$ 96,23;1,06
lugg11;0,46%;R$ 109,02;0,94
lvbi11;0,31%;R$ 110,35;1,08
mall11;0,60%;R$ 106,24;0,96
maxr11;0,59%;R$ 2.234,45;0,89
mbrf11;0,54%;R$ 1.137,23;0,88
mcci11;0,59%;R$ 98,80;1,04
mfai11;1,58%;R$ 102,93;1,69
mfii11;0,79%;R$ 123,45;1,08
mgcr11;0,66%;R$ 95,22;1,02
mgff11;0,59%;R$ 86,81;0,97
mght11;0,60%;R$ 99,33;0,99
more11;0,81%;R$ 102,54;1,09
mxrf11;0,57%;R$ 10,09;1,03
nchb11;1,31%;R$ 91,95;1,08
newl11;0,85%;R$ 114,38;0,91
newu11;0,00%;R$ 68,99;0,62
nslu11;0,64%;R$ 190,75;1,46
nvho11;0,55%;R$ 7,89;1,81
nvif11b;0,00%;R$ 161,88;N/A
onef11;0,43%;R$ 160,75;0,92
orpd11;N/A;R$ 140,33;0,63
oucy11;0,76%;R$ 100,69;0,87
ouff11;0,68%;R$ 89,86;0,93
oujp11;0,65%;R$ 103,25;1,02
oulg11;0,77%;R$ 96,16;0,82
paby11;0,00%;R$ -5,89;-2,57
patc11;0,35%;R$ 101,16;0,84
patl11;0,57%;R$ 96,70;0,96
plcr11;0,79%;R$ 96,79;0,93
plri11;0,50%;R$ 59,47;0,78
pord11;0,79%;R$ 101,32;1,01
pqag11;0,52%;R$ 54,42;1,27
pqdp11;0,27%;R$ 3.478,62;0,86
prsv11;0,42%;R$ 238,02;0,72
prts11;N/A;R$ 0,08;N/A
pvbi11;0,48%;R$ 96,59;1,00
qagr11;0,46%;R$ 96,76;0,93
qmff11;0,77%;R$ 99,61;0,98
rbbv11;1,00%;R$ 100,85;0,94
rbcb11;0,00%;R$ 0,00;Inf
rbco11;0,62%;R$ 102,65;0,85
rbds11;0,38%;R$ 23,92;1,05
rbed11;0,64%;R$ 150,57;1,02
rbff11;0,73%;R$ 77,17;0,95
rbgs11;0,12%;R$ 86,31;0,45
rbir11;N/A;R$ 96,86;0,82
rbiv11;0,61%;R$ 99,04;0,84
rbrd11;0,06%;R$ 79,75;0,95
rbrf11;0,79%;R$ 93,83;1,01
rbrl11;0,59%;R$ 102,93;1,06
rbrp11;0,59%;R$ 85,03;1,11
rbrr11;0,54%;R$ 98,16;0,96
rbrs11;N/A;R$ 95,85;1,03
rbry11;0,73%;R$ 105,45;0,98
rbts11;N/A;R$ 1.010,04;N/A
rbva11;0,80%;R$ 115,55;1,00
rbvo11;0,57%;R$ 31,91;0,53
rcfa11;N/A;R$ 1,58;0,38
rcrb11;0,49%;R$ 197,82;0,85
rdes11;0,06%;R$ 88,83;0,65
rdpd11;0,38%;R$ 97,92;0,83
rech11;N/A;N/A;N/A
recr11;1,20%;R$ 94,98;1,17
rect11;0,76%;R$ 96,01;1,01
relg11;N/A;R$ 96,66;N/A
rfof11;0,73%;R$ 94,18;0,94
rndp11;0,39%;R$ 928,95;0,81
rngo11;0,59%;R$ 101,29;0,70
rspd11;N/A;R$ 1.106,37;N/A
rvbi11;0,68%;R$ 94,55;0,98
rzak11;N/A;N/A;N/A
rztr11;0,66%;R$ 95,30;1,07
saag11;0,80%;R$ 111,50;0,96
sadi11;0,18%;R$ 100,46;0,82
saic11b;0,00%;R$ 54,82;0,66
sare11;0,21%;R$ 100,02;0,94
scpf11;0,38%;R$ 11,52;0,80
sdil11;0,60%;R$ 95,66;1,07
sdip11;0,54%;R$ 96,42;0,91
sfnd11;0,00%;R$ 23,86;N/A
shdp11b;0,00%;R$ 1.423,75;0,85
shop11;N/A;R$ 62,36;N/A
shph11;0,40%;R$ 787,05;1,05
sptw11;0,80%;R$ 75,33;1,11
spvj11;0,00%;R$ 107,84;N/A
strx11;N/A;R$ 20.349,17;N/A
tbof11;0,40%;R$ 0,18;557,39
tepp11;0,56%;R$ 96,42;0,92
tgar11;0,84%;R$ 124,14;1,09
thra11;0,41%;R$ 119,29;1,17
tord11;1,48%;R$ 10,51;1,11
trnt11;0,23%;R$ 222,20;0,87
trxf11;0,69%;R$ 102,90;0,98
trxl11;0,38%;R$ 98,10;1,05
ubsr11;0,70%;R$ 97,27;1,05
urpr11;1,46%;R$ 99,44;1,31
vcjr11;0,90%;R$ 99,45;1,05
vere11;0,00%;R$ 295,86;0,87
vgip11;1,24%;R$ 95,32;1,10
vgir11;0,46%;R$ 96,70;0,88
vifi11;0,62%;R$ 100,80;0,93
vilg11;0,48%;R$ 112,72;1,11
vino11;0,58%;R$ 59,05;1,05
visc11;0,39%;R$ 116,34;0,99
vlol11;0,40%;R$ 90,82;1,13
vots11;0,39%;R$ 98,22;0,81
vpsi11;0,00%;R$ 19,39;N/A
vrta11;0,72%;R$ 102,76;1,10
vsho11;0,15%;R$ 99,56;0,83
vtlt11;0,62%;R$ 101,63;1,15
vvpr11;0,58%;R$ 103,44;0,97
wplz11;0,06%;R$ 93,02;0,81
wtsp11b;0,24%;R$ 91,17;0,59
xpci11;0,69%;R$ 96,42;0,94
xpcm11;2,02%;R$ 58,20;0,85
xpht11;0,40%;R$ 124,86;0,71
xpin11;0,54%;R$ 110,95;1,04
xplg11;0,45%;R$ 109,26;1,10
xpml11;0,40%;R$ 111,62;1,03
xppr11;0,67%;R$ 97,08;0,83
xpsf11;0,83%;R$ 100,02;0,96
xted11;0,00%;R$ 14,42;0,49
ychy11;1,94%;R$ 989,04;1,01
